Name	Consensus length	Total read count	Single reads	Reads in pairs	Average coverage	Reference sequence	Reference length	Reference common name	Reference latin name
seed-4103	19820	404	246	158	1.51	seed-4103	37483		
seed-4125	29197	1139	657	482	2.972	seed-4125	53060		
seed-4153	14875	290	156	134	1.537	seed-4153	26827		
seed-4271	12937	419	219	200	2.499	seed-4271	23556		
seed-4324	2193	363	177	186	23.602	seed-4324	2193		
seed-4347	5582	102	48	54	1.296	seed-4347	11374		
seed-4560	10518	215	95	120	1.429	seed-4560	21318		
seed-4641	4684	1211	587	624	36.364	seed-4641	4666		
seed-4679	5280	89	51	38	0.949	seed-4679	13434		
seed-4704	12519	10367	10235	132	51.226	seed-4704	27655		
seed-4815	14642	343	193	150	1.6	seed-4815	29795		
seed-4934	2787	126	22	104	6.603	seed-4934	2787		
seed-4977	4193	186	48	138	6.435	seed-4977	4193		
seed-5062	25386	987	673	314	2.721	seed-5062	49932		
seed-5155	4402	157	29	128	4.978	seed-5155	4675		
seed-5210	7159	256	170	86	2.408	seed-5210	14797		
seed-5260	12226	570	356	214	4.861	seed-5260	16437		
seed-5322	8950	213	133	80	1.608	seed-5322	18582		
seed-5383	22831	481	227	254	1.832	seed-5383	37374		
seed-5447	15992	545	337	208	2.885	seed-5447	26401		
seed-5459	11730	249	117	132	1.298	seed-5459	26939		
seed-5500	6542	146	92	54	1.604	seed-5500	12540		
seed-5557	15271	519	335	184	2.683	seed-5557	26749		
seed-5595	11452	429	297	132	2.793	seed-5595	21444		
seed-5603	1953	94	70	24	6.183	seed-5603	2171		
seed-5640	5988	1764	254	1510	43.572	seed-5640	5994		
seed-5829	14656	418	196	222	1.799	seed-5829	32835		
seed-5944	12535	518	306	212	2.888	seed-5944	24898		
seed-5965	14500	1582	1336	246	8.827	seed-5965	24838		
seed-6013	7323	1110	868	242	20.169	seed-6013	7634		
seed-6014	5318	212	38	174	5.624	seed-6014	5513		
seed-6036	8145	459	75	384	8.162	seed-6036	8276		
seed-6114	4019	54	18	36	0.972	seed-6114	8056		
seed-6116	4404	68	30	38	1.051	seed-6116	9138		
seed-6264	6905	217	123	94	3.316	seed-6264	9017		
seed-6318	26726	964	612	352	2.789	seed-6318	48187		
seed-6328	9590	414	248	166	4.436	seed-6328	12927		
seed-6424	2794	119	89	30	5.63	seed-6424	2979		
seed-6543	4143	176	124	52	3.245	seed-6543	7668		
seed-6834	3536	45	23	22	0.525	seed-6834	11407		
seed-6905	19174	621	391	230	2.317	seed-6905	37130		
seed-7065	19769	761	527	234	2.765	seed-7065	38089		
seed-7118	8581	229	143	86	1.902	seed-7118	16631		
seed-7141	2804	86	34	52	2.496	seed-7141	4928		
seed-7173	16685	647	347	300	4.092	seed-7173	22027		
seed-7190	10714	5927	2967	2960	78.105	seed-7190	10748		
seed-7252	2452	42	14	28	1.037	seed-7252	5439		
seed-7297	13994	435	199	236	3.034	seed-7297	20487		
seed-7306	3849	173	21	152	3.096	seed-7306	8253		
seed-7317	2271	2068	790	1278	133.349	seed-7317	2295		
seed-7344	7313	253	179	74	3.074	seed-7344	11343		
seed-7474	13425	489	337	152	2.93	seed-7474	23394		
seed-7557	11404	740	554	186	6.518	seed-7557	16118		
seed-7699	2843	971	359	612	48.667	seed-7699	2839		
seed-7771	7742	8709	2773	5936	162.73	seed-7771	7733		
seed-7902	2604	137	55	82	7.553	seed-7902	2619		
seed-7916	5857	409	101	308	10.246	seed-7916	5894		
